Name,Specialization,ID,school,year,Generation,advisor_id
Friedrich Julius Richelot,artificial-intelligence-and-machine-learning,57706,Universität Königsberg,1831,9,15635
Otto  Hesse,artificial-intelligence-and-machine-learning,46967,Universität Königsberg,1840,9,15635
Christian Samuel Weiss,artificial-intelligence-and-machine-learning,66319,Universität Leipzig,1801,9,124285;124286;
Eilhard  Mitscherlich,artificial-intelligence-and-machine-learning,123999,Georg-August-Universität Göttingen,1814,9,123979
Friedrich  Stromeyer,artificial-intelligence-and-machine-learning,123979,Georg-August-Universität Göttingen,1800,9,158571;76485;
Friedrich Wilhelm Bessel,artificial-intelligence-and-machine-learning,18603,Georg-August-Universität Göttingen,1810,9,18231
Heinrich Wilhelm Brandes,artificial-intelligence-and-machine-learning,65162,Georg-August-Universität Göttingen,1800,9,65161;66476;
Nicolas Louis Vauquelin,artificial-intelligence-and-machine-learning,158571,,,9,158735
Joseph Louis Lagrange,artificial-intelligence-and-machine-learning,17864,,ee,9,38586;146036;
Pierre-Simon  Laplace,artificial-intelligence-and-machine-learning,108295,Université de Caen Normandie,1769,9,108266
Bernhard Friedrich Thibaut,artificial-intelligence-and-machine-learning,57667,Georg-August-Universität Göttingen,1796,9,65161;66476;
Carl Friedrich Gauß,artificial-intelligence-and-machine-learning,18231,Universität Helmstedt,1799,9,18230
Georg Christoph Lichtenberg,artificial-intelligence-and-machine-learning,65161,Georg-August-Universität Göttingen,1765,9,66476
Abraham Gotthelf Kästner,artificial-intelligence-and-machine-learning,66476,Universität Leipzig,1739,9,57670
Antoine Francois de Fourcroy,artificial-intelligence-and-machine-learning,158735,Université de Paris,ris,9,158900
Leonhard  Euler,artificial-intelligence-and-machine-learning,38586,Universität Basel,1726,9,53410
Giovanni Battista (Giambattista) Beccaria,artificial-intelligence-and-machine-learning,146036,,,9,None
Jean Le Rond d'Alembert,artificial-intelligence-and-machine-learning,108266,Collège Mazarin,1735,9,None
Georg Christoph Lichtenberg,artificial-intelligence-and-machine-learning,65161,Georg-August-Universität Göttingen,1765,9,66476
Abraham Gotthelf Kästner,artificial-intelligence-and-machine-learning,66476,Universität Leipzig,1739,9,57670
Christian Ludwig Gerling,artificial-intelligence-and-machine-learning,29642,Georg-August-Universität Göttingen,1812,9,18231
Martin  Ohm,artificial-intelligence-and-machine-learning,47064,Friedrich-Alexander-Universität Erlangen-Nürnberg,1811,9,47025
Gustav Peter Lejeune Dirichlet,artificial-intelligence-and-machine-learning,17946,Rheinische Friedrich-Wilhelms-Universität Bonn,1827,9,17981;17865;
Christian Ludwig Gerling,artificial-intelligence-and-machine-learning,29642,Georg-August-Universität Göttingen,1812,9,18231
Martin  Ohm,artificial-intelligence-and-machine-learning,47064,Friedrich-Alexander-Universität Erlangen-Nürnberg,1811,9,47025
Gustav Peter Lejeune Dirichlet,artificial-intelligence-and-machine-learning,17946,Rheinische Friedrich-Wilhelms-Universität Bonn,1827,9,17981;17865;
