Name,Specialization,ID,school,year,Generation,advisor_id
Robert Hjalmar Mellin,algorithms-and-complexity,143865,Helsingin yliopisto,1882,5,19770
Cassius Jackson Keyser,algorithms-and-complexity,37346,Columbia University,1902,5,None
Frank Nelson Cole,algorithms-and-complexity,7611,Harvard University,1886,5,7401
Maxime  Bôcher,algorithms-and-complexity,7431,Georg-August-Universität Göttingen,1891,5,7401
George David Birkhoff,algorithms-and-complexity,5879,The University of Chicago,1907,5,806
Edward John Routh,algorithms-and-complexity,101929,University of Cambridge,1857,5,42016;129420;
Oswald  Veblen,algorithms-and-complexity,805,The University of Chicago,1903,5,806
Eric Temple Bell,algorithms-and-complexity,7868,Columbia University,1912,5,37346;7611;
Emory Leon Chaffee,algorithms-and-complexity,25248,Harvard University,1911,5,141987
Francis Thomas McNamara,algorithms-and-complexity,252402,Yale University,1924,5,None
Philip  Franklin,algorithms-and-complexity,1488,Princeton University,1921,5,805
George Washington Pierce,algorithms-and-complexity,141987,Harvard University,1900,5,67041
William Edward Story,algorithms-and-complexity,7451,Universität Leipzig,1875,5,32858;18589;
Edmund  Landau,algorithms-and-complexity,7862,Universität Berlin,1899,5,4642;11370;
David  Hilbert,algorithms-and-complexity,7298,Universität Königsberg,1885,5,7404
William Edward Story,algorithms-and-complexity,7451,Universität Leipzig,1875,5,32858;18589;
Solomon  Lefschetz,algorithms-and-complexity,7461,Clark University,1911,5,7451
Solomon  Lefschetz,algorithms-and-complexity,7461,Clark University,1911,6,7451
Boris Nikolaevich Delone,algorithms-and-complexity,74408,Kiev State University,ity,6,12544;73323;
Moritz  Réthy,algorithms-and-complexity,90711,Ruprecht-Karls-Universität Heidelberg,1874,6,18336
Albert William Tucker,algorithms-and-complexity,8581,Princeton University,1932,6,7461
George Washington Pierce,algorithms-and-complexity,141987,Harvard University,1900,6,67041
George Washington Pierce,algorithms-and-complexity,141987,Harvard University,1900,6,67041
William Edward Story,algorithms-and-complexity,7451,Universität Leipzig,1875,6,32858;18589;
Oswald  Veblen,algorithms-and-complexity,805,The University of Chicago,1903,6,806
